director,genre,level,rating,runtime,studio,time,title,url,writer
Carroll Ballard,Action & AdventureDramaKids & Family,PG (for mild adventure peril),93%,101 minutes,Warner Bros. Pictures,"Sep 30, 2005",Duma,https://www.rottentomatoes.com/m/duma,Karen JanszenMark St. Germain
Ang Lee,DramaRomance,"R (for sexuality, nudity, language and some violence)",87%,134 minutes,Focus Features,"Dec 9, 2005",Brokeback Mountain,https://www.rottentomatoes.com/m/brokeback_mountain,Larry McMurtryDiana Ossana
Gidi Dar,Art House & InternationalComedyDrama,PG (for mild thematic elements),94%,91 minutes,Picturehouse,"Oct 19, 2005",Ushpizin,https://www.rottentomatoes.com/m/ushpizin,Shuli RandAmit Yasur
Stephen Chow,Action & AdventureArt House & InternationalComedyDramaRomance,R (for sequences of strong stylized action and violence),90%,95 minutes,Sony Pictures Classics,"Apr 8, 2005",Kung Fu Hustle,https://www.rottentomatoes.com/m/kung_fu_hustle,Lola HuoChan MankeungTsang Ken-cheongStephen Chow
Werner Herzog,Documentary,R (for language),92%,100 minutes,Lions Gate Releasing,"Aug 12, 2005",Grizzly Man,https://www.rottentomatoes.com/m/grizzly_man,Werner Herzog
Mike Newell,Action & AdventureKids & FamilyScience Fiction & Fantasy,PG-13 (for sequences of fantasy violence and frightening images),88%,157 minutes,Warner Bros. Pictures,"Nov 18, 2005",Harry Potter and the Goblet of Fire,https://www.rottentomatoes.com/m/harry_potter_and_the_goblet_of_fire,Steve Kloves
Noah Baumbach,Art House & InternationalDrama,"R (for strong sexual content, graphic dialogue and language)",93%,81 minutes,Samuel Goldwyn Films,"Oct 5, 2005",The Squid and the Whale,https://www.rottentomatoes.com/m/squid_and_the_whale,Noah Baumbach
Dayna GoldfineDaniel Geller,DocumentaryMusical & Performing Arts,NR,92%,121 minutes,Zeitgeist,"Oct 26, 2005",Ballets Russes,https://www.rottentomatoes.com/m/1167811_ballets_russes,Dan Geller
Judy Irving,DocumentarySpecial Interest,G,95%,83 minutes,Shadow Distribution,"Feb 9, 2005",The Wild Parrots of Telegraph Hill,https://www.rottentomatoes.com/m/wild_parrots_of_telegraph_hill,Mark Bittner
Alex Gibney,DocumentarySpecial Interest,R (for language and some nudity),97%,110 minutes,Magnolia Pictures,"Apr 29, 2005",Enron: The Smartest Guys in the Room,https://www.rottentomatoes.com/m/enron_the_smartest_guys_in_the_room,Alex GibneyBethany McLeanPeter Elkind
Luc Jacquet,Documentary,G,95%,80 minutes,Warner Independent Pictures,"Jun 24, 2005",March of the Penguins,https://www.rottentomatoes.com/m/march_of_the_penguins,Luc JacquetMichel Fessler
Steve BoxNick Park,Action & AdventureAnimationComedyKids & Family,G,95%,94 minutes,Dreamworks,"Oct 7, 2005",Wallace & Gromit: The Curse of the Were-Rabbit,https://www.rottentomatoes.com/m/wallace_and_gromit_curse_of_the_wererabbit,Bob BakerSteve BoxMark BurtonNick Park
Henry Alex RubinDana Adam Shapiro,DocumentarySpecial InterestSports & Fitness,R (for language and sexual content),98%,85 minutes,ThinkFilm,"Jul 22, 2005",Murderball,https://www.rottentomatoes.com/m/murderball,Dana Adam Shapiro
Rodney Evans,Drama,NR,77%,90 minutes,Wolfe Releasing.,"Nov 5, 2004",Brother to Brother,https://www.rottentomatoes.com/m/brother_to_brother,Rodney Evans
Danny Leiner,Action & AdventureComedy,"R (for strong language, sexual content, drug use and some crude humor)",74%,88 minutes,New Line Cinema,"Jul 30, 2004",Harold & Kumar Go to White Castle,https://www.rottentomatoes.com/m/harold_and_kumar_go_to_white_castle,Jon HurwitzHayden Schlossberg
Jean-Paul Rappeneau,Art House & InternationalComedyDrama,PG-13 (for some violence),76%,114 minutes,Sony Picutres Classic,"Mar 19, 2004",Bon Voyage,https://www.rottentomatoes.com/m/bon_voyage_2004,Jean-Paul RappeneauGilles MarhandPatrick ModianoJulien RappeneauJerome TonnerreGilles Marchand
István Szabó,ComedyDrama,R (for some sexuality),76%,103 minutes,Sony Pictures Classics,"Oct 15, 2004",Being Julia,https://www.rottentomatoes.com/m/being_julia,Ronald Harwood
Bennett Miller,Drama,R (for some violent images and brief strong language),90%,115 minutes,Sony Pictures Classics,"Sep 30, 2005",Capote,https://www.rottentomatoes.com/m/1151898_capote,Dan Futterman
Je-gyu Kang,Action & AdventureArt House & InternationalDrama,R (for strong graphic sequences of war violence),79%,148 minutes,IDP,"Sep 3, 2004",Tae Guk Gi: The Brotherhood of War,https://www.rottentomatoes.com/m/tae_guk_gi_the_brotherhood_of_war,Han Ji-hunKim Sang-don
Tony MontanaMark Brian Smith,DocumentaryMusical & Performing ArtsTelevision,"R (for pervasive strong language, sexual references and some nudity)",78%,81 minutes,ThinkFilm,"May 10, 2005",Overnight,https://www.rottentomatoes.com/m/overnight,
Zack Snyder,DramaHorrorMystery & Suspense,"R (for pervasive strong horror violence and gore, language and sexuality)",75%,109 minutes,Universal Pictures,"Mar 19, 2004",Dawn of the Dead,https://www.rottentomatoes.com/m/dawn_of_the_dead,James Gunn (II)
Gail DolginVicente Franco,DocumentaryMusical & Performing ArtsSpecial Interest,R (for pervasive language including sexual lyrics.),79%,80 minutes,Paramount Classics,"Nov 11, 2003",American Experience,https://www.rottentomatoes.com/m/daughter_from_danang,
George Clooney,Drama,PG (for mild thematic elements and brief language),93%,90 minutes,Warner Independent Pictures,"Oct 7, 2005","Good Night, And Good Luck",https://www.rottentomatoes.com/m/1152019_good_night_and_good_luck,George ClooneyGrant Heslov
Brad Anderson,DramaMystery & Suspense,"R (for violence, and disturbing images, sexuality and language)",77%,98 minutes,Paramount Classics,"Oct 22, 2004",The Machinist,https://www.rottentomatoes.com/m/machinist,Scott Kosar
Jean-Jacques Annaud,Action & AdventureDramaKids & Family,PG (for mild violence),78%,104 minutes,Universal Pictures,"Jun 25, 2004",Two Brothers,https://www.rottentomatoes.com/m/two_brothers,Alain GodardJean-Jacques Annaud
Guy Maddin,ComedyDramaMusical & Performing ArtsSpecial Interest,R (for some sexuality and violent images),79%,99 minutes,IFC Films,"Apr 30, 2004",The Saddest Music in the World,https://www.rottentomatoes.com/m/saddest_music_in_the_world,George TolesGuy Maddin
Jean-Pierre Jeunet,Art House & InternationalDramaRomance,R (for violence and sexuality),78%,133 minutes,Warner Bros. Pictures,"Oct 27, 2004",A Very Long Engagement,https://www.rottentomatoes.com/m/a_very_long_engagement_2004,Guillaume LaurantJean-Pierre Jeunet
David O. RussellRobert Greenwald,DocumentarySpecial Interest,NR,77%,83 minutes,Cinema Libre,"Oct 19, 2004",Uncovered: The War on Iraq,https://www.rottentomatoes.com/m/1135882_uncovered_the_war_on_iraq,
Trey Parker,ComedyDrama,"R (for graphic crude and sexual behavior, violent images and strong language -- all involving puppets)",77%,97 minutes,Paramount Pictures,"Oct 11, 2004",Team America: World Police,https://www.rottentomatoes.com/m/team_america_world_police,Trey ParkerMatt StonePam Brady
Rick McKay,DocumentaryMusical & Performing ArtsSpecial Interest,NR,83%,113 minutes,Dada Films,"Jun 11, 2004",Broadway: The Golden Age,https://www.rottentomatoes.com/m/broadway_the_golden_age,Rick McKay
Cate Shortland,Drama,NR,83%,106 minutes,Magnolia Pictures,"Apr 21, 2004",Somersault,https://www.rottentomatoes.com/m/somersault,Cate Shortland
Jan Hrebejk,Art House & InternationalComedyDrama,"R (for language, sexual content and brief violence)",83%,108 minutes,Sony Pictures Classics,"Sep 16, 2004",Up and Down (Horem Pádem) (Loop the Loop),https://www.rottentomatoes.com/m/up_and_down,Jan HrebejkPetr Jarchovský
Gavin O'Connor,Drama,PG (for language and some rough sports action),80%,135 minutes,Buena Vista Pictures,"Feb 6, 2004",Miracle,https://www.rottentomatoes.com/m/miracle,Eric GuggenheimMike Rich
Cédric Kahn,DramaMystery & Suspense,PG,83%,106 minutes,Wellspring,"Mar 3, 2004",Red Lights,https://www.rottentomatoes.com/m/red_lights,Laurence Ferreira BarbosaCédric KahnGilles Marchand
Taylor Hackford,Drama,"PG-13 (for depiction of drug addiction, sexuality, and some thematic elements)",80%,148 minutes,Universal Pictures,"Oct 29, 2004",Ray,https://www.rottentomatoes.com/m/ray,"James L. WhiteTaylor HackfordJimmy ""Whirlwind"" White"
Roger Michell,DramaRomance,"R (for sexual content including graphic images of sexuality, language and brief drug use)",78%,90 minutes,Sony Pictures Classics,"May 28, 2004",The Mother,https://www.rottentomatoes.com/m/1132642_mother,Hanif Kureishi
Peter Berg,Action & AdventureDrama,"PG-13 (for thematic issues, sexual content, language, some teen drinking and rough sports action)",81%,117 minutes,Universal Pictures,"Oct 8, 2004",Friday Night Lights,https://www.rottentomatoes.com/m/friday_night_lights,David Aaron CohenPeter Berg
Jonathan Demme,Action & AdventureDramaMystery & Suspense,R (for violence and some language),80%,130 minutes,Paramount Pictures,"Jul 30, 2004",The Manchurian Candidate,https://www.rottentomatoes.com/m/manchurian_candidate,Daniel PyneDean Georgaris
Chris SmithDan OllmanSarah Price,ComedyDocumentarySpecial Interest,R (for language),84%,80 minutes,MGM,"Feb 15, 2005",The Yes Men,https://www.rottentomatoes.com/m/yes_men,
Paul Haggis,Drama,"R (for language, sexual content and some violence)",74%,113 minutes,Lions Gate Films,"Sep 10, 2004",Crash,https://www.rottentomatoes.com/m/1144992_crash,Bobby MorescoPaul HaggisRobert Moresco
Robert Greenwald,DocumentarySpecial InterestTelevision,NR,85%,77 minutes,Ryko Distribution,"Jul 13, 2004",Outfoxed: Rupert Murdoch's War on Journalism,https://www.rottentomatoes.com/m/outfoxed_rupert_murdochs_war_on_journalism,
Patty Jenkins,Drama,"R (for strong violence and sexual content, and for pervasive language)",81%,109 minutes,Newmarket Film Group,"Jan 9, 2004",Monster,https://www.rottentomatoes.com/m/monster,Patty Jenkins
Paul Greengrass,Action & AdventureDramaMystery & Suspense,"PG-13 (for violence and intense action, and brief language)",81%,108 minutes,Universal Pictures,"Jul 23, 2004",The Bourne Supremacy,https://www.rottentomatoes.com/m/bourne_supremacy,Tony Gilroy
Guillermo del Toro,Action & AdventureHorrorScience Fiction & Fantasy,PG-13 (for sci-fi action violence and frightening images),81%,122 minutes,Sony Pictures,"Apr 2, 2004",Hellboy,https://www.rottentomatoes.com/m/hellboy,Guillermo del Toro
Lone Scherfig,ComedyDrama,R (for language and some disturbing images),85%,106 minutes,ThinkFilm Inc,"Mar 12, 2004",Wilbur Wants to Kill Himself,https://www.rottentomatoes.com/m/wilbur_wants_to_kill_himself,Anders Thomas JensenLone Scherfig
Ross McElwee,DocumentarySpecial Interest,NR,86%,107 minutes,First Run Features,"Aug 25, 2004",Bright Leaves,https://www.rottentomatoes.com/m/bright_leaves,Ross McElwee
Nick BroomfieldJoan Churchill,Art House & InternationalDocumentarySpecial Interest,"R (for language, including violent and sexual dialogue)",86%,89 minutes,Lantern Lane Entertainment Ltd,"Jun 1, 2004",Aileen: Life and Death of a Serial Killer,https://www.rottentomatoes.com/m/aileen_life_and_death_of_a_serial_killer,
Walter Salles,Drama,R (for language),83%,128 minutes,Focus Features,"Jan 15, 2004",The Motorcycle Diaries,https://www.rottentomatoes.com/m/the_motorcycle_diaries,Jose Rivera
Alejandro Amenábar,Art House & InternationalDrama,PG-13 (for intense depiction of mature thematic material),84%,125 minutes,Fine Line Features,"Nov 14, 2004",The Sea Inside (Mar Adentro) (The Sea Within),https://www.rottentomatoes.com/m/sea_inside,Alejandro AmenábarMateo Gil
Jafar Panahi,Art House & InternationalDramaMystery & Suspense,NR,86%,95 minutes,Wellspring Media,"Feb 6, 2004",Crimson Gold,https://www.rottentomatoes.com/m/crimson_gold,Abbas Kiarostami
Paul Weitz,ComedyDrama,PG-13 (for some sexual content and drug references),83%,109 minutes,Universal Pictures,"Dec 29, 2004",In Good Company,https://www.rottentomatoes.com/m/in_good_company,Paul Weitz
Marc Forster,Drama,PG (for mild thematic elements and brief language),82%,101 minutes,Miramax Films,"Nov 12, 2004",Finding Neverland,https://www.rottentomatoes.com/m/finding_neverland,David Magee
Mark Waters (VIII),Comedy,"PG-13 (for sexual content, language and some teen partying)",83%,96 minutes,Paramount Pictures,"Apr 30, 2004",Mean Girls,https://www.rottentomatoes.com/m/mean_girls,Tina Fey
Michael Moore,DocumentarySpecial Interest,"R (for some violent and disturbing images, and for language)",82%,122 minutes,Lions Gate,"Jun 25, 2004",Fahrenheit 9/11,https://www.rottentomatoes.com/m/fahrenheit_911,Michael Moore
Kim Ki-duk,DramaRomance,R (for some sexual content),87%,87 minutes,Sony Pictures Classics,"Oct 15, 2004",3-Iron,https://www.rottentomatoes.com/m/3_iron,Kim Ki-duk
Nuri Bilge Ceylan,Drama,NR,89%,110 minutes,New Yorker,"Mar 12, 2004",Uzak (Distant),https://www.rottentomatoes.com/m/distant,Nuri Bilge Ceylan
Robert Stone,DocumentarySpecial Interest,NR,89%,89 minutes,Magnolia Pictures,"Sep 27, 2005",Guerrilla: The Taking of Patty Hearst,https://www.rottentomatoes.com/m/guerrilla_the_taking_of_patty_hearst,
Ra'anan Alexandrowicz,Art House & InternationalComedyDrama,NR,90%,87 minutes,Zeitgeist Films,"Mar 5, 2004",James' Journey to Jerusalem,https://www.rottentomatoes.com/m/james_journey_to_jerusalem,Ra'anan AlexandrowiczSami Duenias
Pen-Ek Ratanaruang,Art House & InternationalComedyDrama,"R (for violence, sexual content, language and drug use)",90%,108 minutes,Palm Pictures,"Aug 6, 2004",Last Life in the Universe,https://www.rottentomatoes.com/m/last_life_in_the_universe,Pen-Ek RatanaruangPrabda Yoon
Jang Jun-HwanJang Joon-HwangJang Joon-hwan,Art House & InternationalComedyDramaHorrorScience Fiction & Fantasy,NR,90%,116 minutes,Koch Lorber Films,"Jan 1, 2004",Save the Green Planet,https://www.rottentomatoes.com/m/save_the_green_planet_2004,Jang Joon-HwangJang Joon-hwanJang Jun-Hwan
,DramaHorrorScience Fiction & Fantasy,"R (adult situations/language, violence)",90%,133 minutes,Newmarket Films,,Donnie Darko: The Director's Cut,https://www.rottentomatoes.com/m/donnie_darko_the_directors_cut,
Ondi Timoner,DocumentaryMusical & Performing ArtsSpecial Interest,R (for language and drug use),89%,110 minutes,Palm Pictures,"Oct 8, 2004",Dig!,https://www.rottentomatoes.com/m/dig,Ondi Timoner
Susanne Bier,Art House & InternationalDrama,"R (for violence, language and brief nudity)",89%,110 minutes,IFC Films,"Aug 27, 2004",Brothers,https://www.rottentomatoes.com/m/brothers_2004,Anders Thomas Jensen
Pedro Almodóvar,Art House & InternationalDramaMystery & SuspenseRomance,NC17 (for a scene of explicit sexual content),87%,104 minutes,Sony Pictures Classics,"Nov 19, 2004",Bad Education,https://www.rottentomatoes.com/m/bad_education,Pedro Almodóvar
Quentin Tarantino,Action & AdventureComedyDrama,"R (for violence, language and brief drug use)",84%,137 minutes,Miramax Films,"Apr 16, 2004",Kill Bill: Volume 2,https://www.rottentomatoes.com/m/kill_bill_volume_2,Quentin Tarantino
George Butler,DocumentaryMusical & Performing ArtsSpecial Interest,PG-13 (not Rated),89%,88 minutes,ThinkFilm,"Oct 1, 2004",Going Upriver: The Long War of John Kerry,https://www.rottentomatoes.com/m/going_upriver_the_long_war_of_john_kerry,Joseph Dorman
Antoine Fuqua,DocumentaryMusical & Performing ArtsSpecial Interest,PG-13 (for brief strong language),87%,106 minutes,Sony Picture Classics,"Mar 8, 2005",Lightning in a Bottle,https://www.rottentomatoes.com/m/1136293_lightning_in_a_bottle,
George Hickenlooper,DocumentaryMusical & Performing Arts,"R (for sexual content/nudity, language and some drug references)",87%,94 minutes,First Look Pictures,"Mar 26, 2004",Mayor of the Sunset Strip,https://www.rottentomatoes.com/m/1126416_mayor_of_the_sunset_strip,George Hickenlooper
Zach Braff,ComedyDramaRomance,"R (for language, drug use and a scene of sexuality)",86%,102 minutes,Fox Searchlight,"Jul 28, 2004",Garden State,https://www.rottentomatoes.com/m/garden_state,Zach Braff
Thomas Riedelsheimer,DocumentaryDramaMusical & Performing Arts,NR,88%,99 minutes,Celluloid Dreams,"Jan 1, 2004",Touch The Sound,https://www.rottentomatoes.com/m/touch_the_sound,Thomas Riedelsheimer
Nicole Kassell,Drama,"R (for sexuality, disturbing behavior and language)",88%,85 minutes,Newmarket Films,"Dec 24, 2004",The Woodsman,https://www.rottentomatoes.com/m/woodsman,Nicole KassellSteven Fechter
Pavel PavlikovskiyPawel Pawlikowski,DramaRomance,"R (for sexuality, language and some drug use)",90%,87 minutes,Focus Features,"Jun 17, 2004",My Summer of Love,https://www.rottentomatoes.com/m/my_summer_of_love,Pavel PavlikovskiyMichael WynnePawel Pawlikowski
Joe BerlingerBruce Sinofsky,DocumentaryMusical & Performing ArtsSpecial Interest,R,89%,135 minutes,IFC Films,"Jan 25, 2005",Metallica: Some Kind of Monster,https://www.rottentomatoes.com/m/metallica_some_kind_of_monster,
Jacob Aaron Estes,Drama,"R (for language, sexual references, teen drug use and alcohol use)",89%,89 minutes,Paramount Classics,"Aug 20, 2004",Mean Creek,https://www.rottentomatoes.com/m/mean_creek,Jacob Aaron Estes
Stephen Chow,Action & AdventureArt House & InternationalComedy,PG-13 (for action violence),90%,111 minutes,Miramax Films,"Apr 2, 2004",Shaolin Soccer,https://www.rottentomatoes.com/m/shaolin_soccer,Stephen ChowTsang Kan CheongTsang Ken-cheong
Martin Scorsese,Drama,"PG-13 (for thematic elements, sexual content, nudity, language and crash sequence)",86%,170 minutes,Miramax,"Dec 17, 2004",The Aviator,https://www.rottentomatoes.com/m/aviator,John Logan
